Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",402,2,10nF,C1589
C10,402,1,4.7uF,C1621
"C4, C6, C8, C9, C11, C13, C14, C15, C16, C17, C19, C21, C24, C25, C26",402,8,0.1uF,C1525
"C12, C18, C20, C22, C23",402,1,10uF,C1713
"C3, C5",402,2,1uF,C1592
D3,603,1,LED1,C2288
D4,603,1,LED2,C2288
D5,603,1,Power,C2288
"FB1, FB2",805,2,FerriteBead_Small,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Ethernet,C37208
J3,FTSH_107_01_L_DV_K,1,Conn_ST_STDC14,C5307809
J4,PinHeader_1x05_P2.54mm_Vertical,1,SPI1,C2932699
J5,PinHeader_1x06_P2.54mm_Vertical,1,SPI2,C37208
J6,PinHeader_1x08_P2.54mm_Vertical,1,Sensors,C2905487
J8,PinHeader_1x03_P2.54mm_Vertical,1,Power,C24980
"R1, R2, R7, R11, R12",402,3,10k,C22369937
R14,402,1,12.4k,C22356561
"R15, R16, R17",402,3,270,C22369858
"R3, R4, R5, R6",402,4,49.9,C22369465
SW1,SW_TS04-66-55-BK-260-SMT,1,BOOT0,C4364989
SW2,SW_TS04-66-55-BK-260-SMT,1,RESET,C4364989
U4,ADS131M02-Q1,1,ADS131M02QPWRQ1,C2922448
U5,LQFP-32_7x7mm_P0.8mm,1,STM32G031K6Tx,C432202
U6,AT25SF128A-SHB-T,1,AT25SF128A-SHB-T,C5775693
U7,LQFP-48_7x7mm_P0.5mm,1,W5500,C32843
Y1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,8.192MHz,C2599589
Y2,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,1,KC2520Z,C1988484
